Omega,Amorphous Range,Crystalline Range
15,15-39,27-31
14,13-38,25-29
13,13-36,23-27
12,14-38,21-25
11,Dec-37,19-22
10,14-35,18-21
9,13-34,86-89
8,Dec-32,14.5-16
7,14.5-34,62-66
6,13-33,60-63
5,31-Dec,59-61
3,14-35,54-57
1,31-Dec,32-34
0.25,Dec-35,31-32.5
0.025,14-28,31-32
0.5,Dec-36,31-33
0.05,14-28,30.5-32.5
0.005,14-27,30-34
0.1,30-Nov,30.5-32.5
0.01,12.5-26,30.5-32.5
4,Nov-38,56-61
2,Dec-34,52-56
16,15-35,28-35
17,15-35,30-36
18,17-27,34-38
19,18-33,35-39
20,20-31,38-42
21,20-30,40-43
22,21-28,41-45
23,22-29,44-47
24,23-27,46-49
25,24-30,48-51
